,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
0,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,0
1,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,1
2,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,3
3,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,864.2065423050828,0.0,12,0
4,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,0
5,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,3
6,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,2
7,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,3
8,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,0
9,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0
10,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,3
11,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,0
12,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,3
13,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,3
14,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,0
15,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,1
16,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,0
17,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,0
18,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,3
19,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,3
20,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,3
21,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,1659.775075,0.0,12,2
22,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,3
23,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,1
24,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,1
25,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,3
26,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12,0
27,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,164.748819,0.0,12,3
28,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,1
29,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,0
30,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,1
31,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,3
32,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,2506.745366,0.0,12,1
33,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,3
34,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607835,17862.55831,0.0,12,3
35,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12,0
36,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,1
37,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,3
38,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,1
39,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,1
40,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.333445,0.166667,12,0
41,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.111111,12,3
42,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,0
43,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12,0
44,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.341501,1318.71492,0.0,12,3
45,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,864.2065423050828,0.0,12,0
46,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,147.199792,0.0,8,0
47,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,864.2065423050828,0.0,12,1
48,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,3
49,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,0
50,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,1012.415961,0.0,8,1
51,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.446601,0.0,12,3
52,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,0
53,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,132.446091,0.2,9,3
54,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.016763,864.2065423050828,0.0,12,3
55,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,864.2065423050828,0.0,12,0
56,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,864.2065423050828,0.0,12,0
57,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,1311.514878,0.083333,12,2
58,3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.938728,1600.212243,0.0,11,0
59,5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,1895.02617,0.0,12,1
60,1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,548.105836,0.0,12,0
61,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12,0
62,809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148648,241.645387,0.090909,11,1
63,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,864.2065423050828,0.0,12,0
64,1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,1.0,0.0,1.0,0.083333,4,61,1850.0,3688.045998,3266.996777,0.083333,12,3
65,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,1800.0,777.451648,897.905444,0.0,12,0
66,809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,0.0,0.125,1,0,1500.0,146.074769,179.412493,0.0,8,0
67,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,352.883804,0.0,12,0
68,3990.523579,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0,8,6000.0,6876.836205,1001.607366,0.083333,12,3
69,1699.435486,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,1700.0,1623.816348,923.505868,0.0,12,0
70,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4,11,6250.0,1288.214909,2180.881868,0.0,12,3
71,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.69446,1107.030803,0.454545,12,1
72,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3,0,7000.0,910.457985,140.983193,0.25,8,0
73,1808.972419,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.017418,622.757696,0.0,10,0
74,532.334517,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0,7,6000.0,1305.177304,175.510344,0.0,11,0
75,5860.433624,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0,14,6000.0,1990.044998,2161.428274,0.0,12,3
